,liq_100,liq_101
1262,2.0,7.0
1263,3.0,6.0
1264,2.0,5.0
1265,3.0,3.0
1266,3.0,3.0
1267,6.0,5.0
1268,6.0,7.0
1269,6.0,10.0
1270,7.0,12.0
1271,7.0,14.0
1272,8.0,14.0
1273,10.0,16.0
1274,11.0,17.0
1275,14.0,18.0
1276,14.0,19.0
1277,14.0,19.0
1278,16.0,20.0
1279,15.0,17.0
1280,13.0,14.0
1281,11.0,15.0
1282,13.0,13.0
1283,12.0,13.0
1284,11.0,10.0
1285,9.0,11.0
1286,10.0,10.0
1287,7.0,14.0
1288,6.0,10.0
1289,5.0,9.0
1290,3.0,5.0
1291,4.0,5.0
1292,5.0,5.0
1293,8.0,8.0
1294,10.0,9.0
1295,10.0,10.0
1296,12.0,10.0
1297,12.0,11.0
1298,12.0,11.0
1299,12.0,12.0
1300,12.0,12.0
1301,12.0,13.0
1302,12.0,14.0
1303,8.0,11.0
1304,8.0,9.0
1305,7.0,10.0
1306,6.0,9.0
1307,5.0,8.0
1308,5.0,6.0
1309,5.0,6.0
1310,1.0,6.0
1311,2.0,5.0
1312,3.0,3.0
1313,3.0,3.0
1314,2.0,2.0
1315,3.0,3.0
1316,6.0,3.0
1317,7.0,3.0
1318,9.0,4.0
1319,11.0,8.0
1320,11.0,8.0
1321,12.0,8.0
1322,12.0,9.0
1323,13.0,12.0
1324,16.0,12.0
1325,16.0,14.0
1326,17.0,15.0
1327,15.0,13.0
1328,12.0,11.0
1329,10.0,13.0
1330,9.0,13.0
1331,6.0,13.0
1332,7.0,9.0
1333,6.0,6.0
1334,7.0,7.0
1335,3.0,5.0
1336,5.0,2.0
1337,8.0,3.0
1338,6.0,2.0
1339,9.0,4.0
1340,13.0,5.0
1341,14.0,7.0
1342,15.0,7.0
1343,15.0,9.0
1344,17.0,9.0
1345,20.0,9.0
1346,21.0,9.0
1347,23.0,9.0
1348,25.0,10.0
1349,26.0,11.0
1350,27.0,13.0
1351,23.0,9.0
1352,18.0,10.0
1353,16.0,11.0
1354,16.0,10.0
1355,16.0,8.0
1356,16.0,7.0
1357,14.0,6.0
