,Cargo_100,Cargo_101,Cargo_102,Cargo_103,mean,std
2205,24.0,21.0,17.0,,20.666666666666668,2.8674417556808756
2212,30.0,21.0,43.0,,31.333333333333332,9.030811456096044
2217,41.0,,,,41.0,0.0
2243,18.0,17.0,4.0,19.0,14.5,6.103277807866851
2250,26.0,,,,26.0,0.0
2258,29.0,30.0,,,29.5,0.5
2271,7.0,,,,7.0,0.0
2275,4.0,42.0,25.0,,23.666666666666668,15.542057635833023
2283,30.0,,,,30.0,0.0
2284,4.0,,,,4.0,0.0
2293,41.0,,,26.0,33.5,7.5
2299,4.0,,19.0,,11.5,7.5
2316,31.0,,,,31.0,0.0
2319,24.0,,,,24.0,0.0
2327,4.0,,28.0,,16.0,12.0
2341,18.0,6.0,,,12.0,6.0
2353,22.0,,,,22.0,0.0
2361,17.0,,7.0,,12.0,5.0
2374,19.0,,,,19.0,0.0
2389,21.0,42.0,,,31.5,10.5
2392,19.0,,,,19.0,0.0
2404,19.0,,,,19.0,0.0
2414,4.0,,,,4.0,0.0
2429,21.0,,,4.0,12.5,8.5
2431,17.0,,,,17.0,0.0
2432,17.0,,,,17.0,0.0
2436,30.0,,,,30.0,0.0
2438,28.0,,22.0,,25.0,3.0
2443,5.0,21.0,,,13.0,8.0
2444,24.0,,,,24.0,0.0
2448,29.0,,,,29.0,0.0
2465,30.0,,21.0,,25.5,4.5
2473,4.0,,,,4.0,0.0
2475,25.0,,,,25.0,0.0
2487,23.0,,6.0,,14.5,8.5
2496,19.0,,,,19.0,0.0
2498,28.0,,4.0,,16.0,12.0
2502,25.0,21.0,,,23.0,2.0
2504,20.0,21.0,25.0,,22.0,2.160246899469287
2510,4.0,,,31.0,17.5,13.5
2519,28.0,,,21.0,24.5,3.5
2534,19.0,,,,19.0,0.0
2549,28.0,,,,28.0,0.0
2553,4.0,,,,4.0,0.0
2580,30.0,4.0,19.0,,17.666666666666668,10.656244908763854
2586,8.0,21.0,19.0,,16.0,5.715476066494082
2591,23.0,,,,23.0,0.0
2602,42.0,,,,42.0,0.0
2606,19.0,22.0,4.0,,15.0,7.874007874011811
2612,7.0,29.0,,,18.0,11.0
2615,4.0,,20.0,,12.0,8.0
2619,24.0,,,,24.0,0.0
2621,22.0,,,,22.0,0.0
2630,25.0,,,,25.0,0.0
2640,7.0,,,,7.0,0.0
2652,7.0,4.0,,20.0,10.333333333333334,6.944222218666553
2661,6.0,,,,6.0,0.0
2666,43.0,,,,43.0,0.0
2667,21.0,,,6.0,13.5,7.5
2668,19.0,,,,19.0,0.0
2670,4.0,,,,4.0,0.0
2677,8.0,,,,8.0,0.0
2720,7.0,,4.0,,5.5,1.5
2733,4.0,,,,4.0,0.0
2735,24.0,,,23.0,23.5,0.5
2745,30.0,,,26.0,28.0,2.0
2746,5.0,,,,5.0,0.0
2769,18.0,,,,18.0,0.0
2770,19.0,23.0,,,21.0,2.0
2771,4.0,,25.0,,14.5,10.5
2775,6.0,,19.0,,12.5,6.5
2791,31.0,,,,31.0,0.0
2793,7.0,,,,7.0,0.0
2795,27.0,,42.0,,34.5,7.5
2800,30.0,,,,30.0,0.0
2806,19.0,,,,19.0,0.0
2818,29.0,,,8.0,18.5,10.5
2831,4.0,,,,4.0,0.0
2835,21.0,,,,21.0,0.0
2847,7.0,,,,7.0,0.0
2855,29.0,,,,29.0,0.0
2856,23.0,,23.0,,23.0,0.0
2859,21.0,,,17.0,19.0,2.0
2862,19.0,20.0,,,19.5,0.5
2874,4.0,19.0,,,11.5,7.5
2902,22.0,,,,22.0,0.0
2904,21.0,,,28.0,24.5,3.5
2911,4.0,,,,4.0,0.0
2950,19.0,31.0,,7.0,19.0,9.797958971132712
2955,4.0,,,,4.0,0.0
2961,4.0,,,,4.0,0.0
2962,4.0,,,,4.0,0.0
2968,22.0,20.0,25.0,24.0,22.75,1.920286436967152
2971,23.0,,,,23.0,0.0
2975,19.0,,,,19.0,0.0
2980,6.0,,17.0,,11.5,5.5
2982,8.0,,18.0,,13.0,5.0
2994,21.0,,,,21.0,0.0
2997,23.0,,,17.0,20.0,3.0
3001,21.0,,,,21.0,0.0
3007,23.0,,20.0,,21.5,1.5
3013,7.0,,,,7.0,0.0
3015,7.0,,,,7.0,0.0
3023,23.0,,,,23.0,0.0
3025,20.0,,,,20.0,0.0
3029,6.0,,,,6.0,0.0
3031,25.0,,,,25.0,0.0
3038,18.0,,,,18.0,0.0
3041,17.0,,,,17.0,0.0
3053,26.0,,,24.0,25.0,1.0
3062,25.0,,,,25.0,0.0
3075,29.0,,,,29.0,0.0
