,db_100,db_101,db_102,db_103
430,0.0,0.0,2.0,1.0
431,0.0,0.0,3.0,1.0
432,0.0,1.0,3.0,1.0
433,0.0,1.0,3.0,1.0
434,0.0,1.0,3.0,2.0
435,0.0,2.0,3.0,2.0
436,0.0,2.0,3.0,2.0
437,0.0,2.0,3.0,2.0
438,0.0,2.0,3.0,2.0
439,0.0,1.0,2.0,1.0
440,0.0,1.0,2.0,1.0
441,0.0,1.0,1.0,2.0
442,1.0,1.0,0.0,3.0
443,1.0,1.0,0.0,3.0
444,1.0,1.0,0.0,3.0
445,0.0,0.0,0.0,4.0
446,0.0,0.0,0.0,2.0
447,0.0,1.0,0.0,1.0
448,0.0,1.0,0.0,1.0
449,1.0,1.0,0.0,1.0
450,1.0,0.0,0.0,1.0
451,1.0,0.0,0.0,1.0
452,1.0,0.0,0.0,1.0
453,1.0,0.0,1.0,1.0
454,1.0,1.0,2.0,1.0
455,1.0,1.0,2.0,1.0
456,1.0,1.0,3.0,1.0
457,1.0,1.0,3.0,1.0
458,1.0,1.0,3.0,1.0
459,3.0,1.0,4.0,1.0
460,3.0,1.0,5.0,1.0
461,4.0,1.0,5.0,1.0
462,5.0,2.0,5.0,1.0
463,4.0,1.0,5.0,1.0
464,5.0,1.0,4.0,2.0
465,5.0,1.0,4.0,1.0
466,5.0,1.0,4.0,0.0
467,5.0,1.0,4.0,0.0
468,5.0,1.0,3.0,0.0
469,6.0,0.0,3.0,0.0
470,5.0,0.0,2.0,0.0
471,4.0,0.0,1.0,0.0
472,2.0,0.0,1.0,0.0
473,1.0,0.0,1.0,0.0
474,1.0,0.0,1.0,0.0
475,1.0,2.0,1.0,0.0
476,1.0,2.0,1.0,0.0
477,1.0,2.0,1.0,0.0
478,1.0,2.0,1.0,1.0
479,1.0,2.0,1.0,2.0
480,1.0,2.0,1.0,2.0
481,1.0,2.0,2.0,2.0
482,2.0,2.0,2.0,2.0
483,2.0,2.0,2.0,2.0
484,3.0,2.0,3.0,2.0
485,3.0,2.0,3.0,2.0
486,3.0,2.0,3.0,2.0
487,1.0,1.0,3.0,2.0
488,2.0,1.0,2.0,2.0
489,2.0,1.0,3.0,1.0
490,1.0,1.0,3.0,0.0
491,0.0,0.0,2.0,1.0
492,0.0,0.0,2.0,1.0
493,3.0,1.0,2.0,3.0
494,3.0,2.0,1.0,4.0
495,3.0,2.0,1.0,3.0
496,1.0,1.0,1.0,1.0
497,0.0,0.0,2.0,1.0
498,0.0,0.0,3.0,1.0
499,0.0,0.0,4.0,1.0
500,0.0,0.0,4.0,1.0
501,0.0,0.0,4.0,1.0
502,0.0,0.0,4.0,3.0
503,0.0,0.0,4.0,3.0
504,0.0,0.0,4.0,3.0
505,0.0,0.0,4.0,4.0
506,0.0,1.0,4.0,4.0
507,1.0,1.0,4.0,4.0
508,1.0,1.0,4.0,4.0
509,2.0,2.0,4.0,5.0
510,3.0,2.0,4.0,5.0
511,3.0,2.0,3.0,3.0
512,3.0,2.0,1.0,2.0
513,3.0,2.0,2.0,2.0
514,3.0,2.0,2.0,2.0
515,3.0,2.0,2.0,2.0
516,3.0,2.0,1.0,3.0
517,3.0,3.0,1.0,3.0
518,3.0,2.0,1.0,2.0
519,2.0,1.0,2.0,0.0
520,0.0,0.0,1.0,0.0
521,0.0,0.0,1.0,0.0
522,0.0,0.0,0.0,0.0
523,0.0,0.0,0.0,0.0
524,0.0,0.0,1.0,2.0
525,1.0,0.0,1.0,2.0
526,2.0,1.0,1.0,2.0
527,2.0,1.0,2.0,2.0
528,3.0,1.0,3.0,2.0
529,3.0,1.0,3.0,2.0
530,4.0,1.0,3.0,2.0
531,4.0,1.0,3.0,2.0
532,4.0,3.0,4.0,2.0
533,4.0,3.0,4.0,2.0
534,4.0,3.0,4.0,2.0
535,4.0,0.0,4.0,3.0
536,2.0,0.0,4.0,3.0
537,3.0,0.0,3.0,1.0
538,2.0,0.0,4.0,2.0
539,1.0,0.0,4.0,2.0
540,0.0,0.0,3.0,0.0
541,0.0,0.0,3.0,0.0
542,0.0,0.0,3.0,0.0
543,0.0,0.0,3.0,1.0
544,0.0,0.0,2.0,1.0
545,0.0,0.0,0.0,2.0
546,1.0,0.0,0.0,2.0
547,1.0,1.0,0.0,2.0
548,1.0,1.0,0.0,2.0
549,1.0,1.0,0.0,2.0
550,1.0,1.0,1.0,2.0
