,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
3428,7.03,,,0.0,3.515,3.515
3429,0.0,11.0,,,5.5,5.5
3431,0.0,,,,0.0,0.0
3438,0.0,,,,0.0,0.0
3440,0.0,,,8.440000000000001,4.220000000000001,4.220000000000001
3444,11.0,,,,11.0,0.0
3451,3.0,,,,3.0,0.0
3465,0.0,0.0,1.0,,0.3333333333333333,0.4714045207910317
3478,10.0,,,0.36,5.18,4.819999999999999
3481,12.0,,9.0,,10.5,1.5
3484,11.6,,,,11.6,0.0
3492,1.0,,,,1.0,0.0
3502,0.0,,,,0.0,0.0
3507,10.11,,,,10.11,0.0
3511,11.07,,,,11.07,0.0
3512,25.72,,,,25.72,0.0
3519,0.0,,0.0,9.29,3.0966666666666662,4.379347998148684
3521,0.0,,,,0.0,0.0
3527,12.0,,,,12.0,0.0
3534,10.0,,,,10.0,0.0
3535,10.0,,,,10.0,0.0
3542,8.86,,,7.0,7.93,0.9299999999999997
3543,7.38,,,,7.38,0.0
3549,0.0,,7.56,,3.78,3.78
3552,1.0,,,,1.0,0.0
3554,3.44,,,,3.44,0.0
3565,12.0,0.0,,0.0,4.0,5.656854249492381
3580,0.0,,,,0.0,0.0
3594,6.0,,,,6.0,0.0
3596,9.79,,,,9.79,0.0
3598,10.28,,,,10.28,0.0
3599,9.14,,,,9.14,0.0
3606,0.0,,,,0.0,0.0
3615,0.0,,,,0.0,0.0
3616,11.0,,,,11.0,0.0
3617,12.0,0.0,,,6.0,6.0
3624,11.0,,,,11.0,0.0
3642,0.0,,,,0.0,0.0
3644,0.0,0.0,,,0.0,0.0
3648,12.0,,,,12.0,0.0
3649,11.0,,8.62,15.53,11.716666666666667,2.8661511164316202
3652,9.0,,8.73,,8.865,0.1349999999999998
3658,8.0,,,,8.0,0.0
3662,8.190000000000001,,,,8.190000000000001,0.0
3663,6.64,,,,6.64,0.0
3671,1.04,,,,1.04,0.0
3675,0.43,,,,0.43,0.0
3685,4.0,9.73,,,6.865,2.865
3692,7.28,,,,7.28,0.0
3694,9.59,,,,9.59,0.0
3695,7.1,,,,7.1,0.0
3701,2.64,,,,2.64,0.0
3708,1.0,7.39,,,4.195,3.195
3724,8.030000000000001,,,,8.030000000000001,0.0
3725,6.87,11.0,,,8.935,2.065
3726,0.0,,,,0.0,0.0
3730,0.0,9.0,,,4.5,4.5
3732,0.0,,,,0.0,0.0
3753,10.13,,,,10.13,0.0
3758,8.6,,,,8.6,0.0
3760,8.31,,,,8.31,0.0
3762,8.59,12.0,,3.54,8.043333333333333,3.4753449069440894
3806,7.0,,,,7.0,0.0
3814,6.67,,,,6.67,0.0
3823,0.0,,,,0.0,0.0
3825,1.0,,,,1.0,0.0
3829,1.0,0.0,,,0.5,0.5
3833,14.0,,,,14.0,0.0
3844,6.0,,,0.0,3.0,3.0
3845,4.0,,0.0,,2.0,2.0
3861,0.0,,,,0.0,0.0
3870,11.0,,,,11.0,0.0
3885,8.84,,,,8.84,0.0
3897,1.0,,1.0,,1.0,0.0
3898,0.0,0.0,,,0.0,0.0
3904,12.0,,,,12.0,0.0
3907,11.0,,,,11.0,0.0
3911,8.0,9.82,,,8.91,0.9100000000000001
3913,7.0,,,,7.0,0.0
3923,22.28,,,7.19,14.735000000000001,7.545000000000001
3924,0.0,,,,0.0,0.0
3927,0.0,,,,0.0,0.0
3928,0.88,,,,0.88,0.0
3931,0.0,,,,0.0,0.0
3933,2.0,,0.0,,1.0,1.0
3940,12.27,,,,12.27,0.0
3947,9.0,11.17,,,10.085,1.085
3949,16.21,,13.03,,14.620000000000001,1.5900000000000005
3959,8.68,,,,8.68,0.0
3960,7.99,,,,7.99,0.0
3966,5.34,0.0,0.0,,1.78,2.517300141024109
3982,8.0,,,,8.0,0.0
3985,10.0,,,,10.0,0.0
3988,11.67,,0.26,2.61,4.846666666666667,4.919284049082301
3991,23.54,0.0,,1.0,8.18,10.868830050500682
3995,7.55,,10.0,,8.775,1.225
3997,6.34,,,,6.34,0.0
3998,6.02,,,0.0,3.01,3.01
4000,5.73,,,,5.73,0.0
4001,19.35,,,,19.35,0.0
4005,25.43,,,,25.43,0.0
4006,27.79,,,,27.79,0.0
4022,15.22,,,,15.22,0.0
4026,11.69,,,0.0,5.845,5.845
4047,10.0,,,,10.0,0.0
4048,8.0,2.0,0.0,,3.3333333333333335,3.39934634239519
4057,10.01,1.0,,,5.505,4.505
4065,6.76,,10.7,,8.73,1.9699999999999998
4073,1.0,,,,1.0,0.0
4078,11.0,,,,11.0,0.0
4082,7.0,,,,7.0,0.0
4086,9.37,,,,9.37,0.0
4092,0.0,,,,0.0,0.0
4097,0.0,,9.0,,4.5,4.5
4103,10.0,,,9.36,9.68,0.3200000000000003
4111,9.57,,,,9.57,0.0
4129,0.0,8.46,,,4.23,4.23
4130,0.0,7.9,,,3.95,3.95
4135,13.0,,,,13.0,0.0
4145,9.05,2.0,1.0,,4.016666666666667,3.5824417495458167
4147,7.82,,0.0,,3.91,3.91
4154,1.0,,,,1.0,0.0
4155,2.0,,,,2.0,0.0
4173,5.77,,1.95,,3.86,1.91
4181,0.0,,,,0.0,0.0
4192,11.0,,,,11.0,0.0
4193,9.0,,,,9.0,0.0
