,liq_100,liq_101,liq_102,liq_103
686,5.0,3.0,3.0,7.0
687,5.0,4.0,4.0,9.0
688,4.0,2.0,7.0,7.0
689,3.0,1.0,6.0,5.0
690,3.0,4.0,5.0,5.0
691,4.0,7.0,6.0,7.0
692,4.0,8.0,6.0,9.0
693,4.0,8.0,6.0,9.0
694,5.0,9.0,7.0,10.0
695,6.0,10.0,7.0,10.0
696,6.0,10.0,8.0,10.0
697,7.0,12.0,10.0,12.0
698,7.0,13.0,11.0,12.0
699,8.0,14.0,11.0,14.0
700,11.0,16.0,12.0,15.0
701,13.0,16.0,13.0,17.0
702,13.0,16.0,14.0,19.0
703,13.0,12.0,11.0,14.0
704,12.0,13.0,8.0,12.0
705,13.0,14.0,5.0,9.0
706,12.0,13.0,4.0,11.0
707,9.0,10.0,4.0,11.0
708,7.0,8.0,1.0,11.0
709,5.0,8.0,0.0,11.0
710,2.0,8.0,0.0,8.0
711,0.0,8.0,1.0,8.0
712,1.0,7.0,4.0,9.0
713,3.0,7.0,3.0,11.0
714,3.0,5.0,3.0,10.0
715,4.0,6.0,3.0,11.0
716,6.0,8.0,4.0,13.0
717,6.0,8.0,6.0,14.0
718,6.0,9.0,9.0,14.0
719,6.0,10.0,11.0,16.0
720,10.0,10.0,12.0,17.0
721,10.0,10.0,13.0,17.0
722,11.0,10.0,13.0,20.0
723,11.0,10.0,15.0,22.0
724,12.0,10.0,18.0,25.0
725,12.0,10.0,21.0,25.0
726,13.0,10.0,21.0,27.0
727,11.0,6.0,19.0,21.0
728,9.0,6.0,18.0,20.0
729,9.0,8.0,16.0,20.0
730,7.0,7.0,12.0,18.0
731,7.0,7.0,11.0,16.0
732,7.0,4.0,11.0,13.0
733,6.0,3.0,12.0,14.0
734,5.0,3.0,10.0,11.0
735,6.0,4.0,6.0,11.0
736,5.0,4.0,5.0,15.0
737,5.0,0.0,4.0,12.0
738,4.0,0.0,4.0,7.0
739,4.0,0.0,5.0,9.0
740,4.0,1.0,5.0,11.0
741,5.0,1.0,5.0,11.0
742,5.0,3.0,5.0,11.0
743,6.0,4.0,8.0,12.0
744,6.0,6.0,8.0,12.0
745,6.0,6.0,8.0,14.0
746,6.0,7.0,9.0,15.0
747,7.0,7.0,9.0,15.0
748,7.0,7.0,10.0,15.0
749,7.0,7.0,11.0,15.0
750,8.0,8.0,13.0,15.0
751,4.0,8.0,9.0,13.0
752,3.0,8.0,8.0,11.0
753,2.0,7.0,11.0,9.0
754,2.0,6.0,9.0,8.0
755,2.0,5.0,6.0,7.0
756,2.0,4.0,7.0,7.0
757,3.0,5.0,6.0,7.0
758,1.0,4.0,4.0,6.0
759,3.0,4.0,3.0,4.0
760,2.0,3.0,3.0,4.0
761,1.0,5.0,3.0,3.0
762,2.0,4.0,4.0,3.0
763,5.0,4.0,4.0,3.0
764,5.0,4.0,7.0,5.0
765,6.0,5.0,7.0,7.0
766,8.0,8.0,7.0,8.0
767,9.0,10.0,9.0,9.0
768,10.0,12.0,10.0,12.0
769,11.0,12.0,13.0,13.0
770,11.0,12.0,14.0,14.0
