,channel_100,channel_101,channel_102,channel_103
918,0,0,0,0
919,0,0,0,0
920,0,0,0,0
921,9,9,4,7
922,9,12,7,8
923,7,6,2,7
924,4,5,1,4
925,7,1,4,3
926,5,3,5,3
927,6,4,6,6
928,5,3,5,5
929,3,4,5,8
930,5,3,4,6
931,1,4,2,6
932,3,0,3,1
933,1,0,3,0
934,1,0,1,0
935,0,0,0,0
936,0,0,0,0
937,0,0,0,0
938,0,0,0,0
939,0,0,0,0
940,0,0,0,0
941,0,0,0,0
942,0,0,0,0
943,0,0,0,0
944,0,0,0,0
945,8,5,6,5
946,7,5,6,5
947,3,2,5,6
948,7,5,2,3
949,3,4,5,5
950,4,2,7,3
951,5,2,6,2
952,4,5,5,4
953,5,3,3,5
954,7,3,2,4
955,6,3,3,5
956,6,1,3,2
957,2,0,1,0
958,1,0,0,0
959,0,0,0,0
960,0,0,0,0
961,0,0,1,0
962,0,0,0,0
963,0,0,0,0
964,0,0,0,0
965,0,0,0,0
966,0,0,0,0
967,0,0,0,0
968,0,0,0,0
969,10,5,7,6
970,8,7,8,5
971,6,7,5,5
972,6,5,2,6
973,5,5,5,3
974,5,5,3,5
975,4,3,5,8
976,5,4,7,5
977,11,7,6,5
978,5,4,3,2
979,4,7,4,6
980,6,9,5,10
981,3,4,1,4
982,0,2,0,0
983,0,0,0,0
984,0,0,0,0
985,0,0,0,0
986,0,0,0,0
987,0,0,0,0
988,0,0,0,0
989,0,0,0,0
990,0,0,0,0
991,0,0,0,0
992,0,0,0,0
993,7,8,11,8
994,6,10,9,9
995,4,12,11,9
996,5,9,6,9
997,6,6,5,4
998,7,4,3,4
999,7,4,3,2
1000,2,7,6,3
1001,1,3,5,6
1002,4,5,5,5
1003,5,6,5,8
1004,5,4,6,7
1005,1,0,3,4
1006,1,0,1,1
1007,0,0,0,0
1008,0,0,0,0
1009,0,0,0,0
1010,0,0,0,0
1011,0,0,0,0
1012,0,0,0,0
1013,0,0,0,0
1014,0,0,0,0
1015,0,0,0,0
1016,0,0,0,0
1017,9,9,9,7
1018,10,12,8,9
1019,4,10,4,7
1020,2,4,4,4
1021,3,4,6,4
1022,5,6,6,3
1023,4,7,5,6
1024,5,7,7,6
1025,4,5,6,5
1026,2,7,8,5
1027,0,6,5,2
1028,3,5,5,2
1029,2,3,1,1
1030,0,1,1,0
1031,0,0,0,0
1032,0,0,0,0
1033,0,0,0,0
1034,0,0,0,0
1035,0,0,0,0
1036,0,0,0,0
1037,0,0,0,0
