,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
1364,2.51,1.0,23.78,10.16,9.3625,9.019263758755478
1365,1.98,1.0,0.0,8.27,2.8125,3.2277188152006056
1368,1.0,0.0,,,0.5,0.5
1371,2.0,1.0,0.0,1.0,1.0,0.7071067811865476
1372,0.0,0.0,,,0.0,0.0
1373,1.0,1.0,1.0,0.0,0.75,0.4330127018922193
1375,0.0,,1.0,0.0,0.3333333333333333,0.4714045207910317
1378,1.0,,13.0,13.0,9.0,5.656854249492381
1379,1.0,,,0.0,0.5,0.5
1380,0.0,0.0,14.0,,4.666666666666667,6.599663291074443
1381,1.0,0.0,10.0,12.0,5.75,5.3091901453988255
1382,1.55,,,13.0,7.275,5.7250000000000005
1384,1.0,,8.37,10.0,6.456666666666666,3.9154083084937925
1385,0.0,0.0,8.2,12.0,5.05,5.22565785332335
1386,0.0,12.0,9.48,12.0,8.370000000000001,4.940718571220182
1387,0.0,13.0,10.24,10.0,8.31,4.940475685599516
1388,0.0,12.0,,6.0,6.0,4.898979485566356
1390,0.0,12.0,10.52,,7.506666666666667,5.3422924750418606
1391,13.0,12.0,13.12,,12.706666666666665,0.5020845435670059
1393,11.0,12.0,10.65,8.93,10.645,1.1071698153399956
1394,11.0,11.0,11.92,8.9,10.705,1.1077341738883024
1395,13.15,,10.31,7.01,10.156666666666666,2.508988286585297
1397,10.0,,22.15,,16.075,6.074999999999999
1399,13.03,10.0,0.0,6.9,7.4825,4.833209984058214
1400,17.02,8.0,0.0,8.01,8.2575,6.0227750040990236
1401,33.11,11.94,0.0,1.0,11.5125,13.319957535592971
1403,11.0,11.83,,,11.415,0.41500000000000004
1404,34.13,13.98,,0.0,16.036666666666665,14.009202531034934
1405,12.0,13.38,2.0,0.0,6.845000000000001,5.907797813060295
1407,9.0,13.8,,1.0,7.933333333333334,5.279730632859556
1408,12.0,13.16,15.0,0.0,10.04,5.894471986531109
1410,11.17,27.36,12.0,12.0,15.6325,6.779348696593206
1412,14.69,30.35,,0.0,15.013333333333334,12.392444830980242
1413,13.31,25.35,11.0,13.0,15.665000000000001,5.661486112320687
1414,30.85,26.2,12.0,11.7,20.1875,8.498703945308367
1416,11.18,26.44,11.0,,16.206666666666667,7.236432515788119
1417,29.56,,8.0,,18.78,10.78
1418,29.4,27.63,9.0,8.0,18.5075,10.033278066016111
1419,11.29,31.41,5.0,7.0,13.675,10.48844244871468
1420,52.33,2.06,4.0,,19.463333333333335,23.253734228195597
1421,11.62,27.49,4.0,9.93,13.26,8.689346925977809
1425,11.56,0.0,2.0,4.0,4.390000000000001,4.37450568636046
1427,24.51,6.08,4.0,4.0,9.6475,8.622781961177031
1428,51.78,20.12,1.0,5.0,19.475,19.967976236965026
1429,25.16,,3.0,6.0,11.386666666666665,9.815923571195711
1431,26.13,,2.0,3.0,10.376666666666667,11.146767344042944
1432,24.31,4.71,0.0,,9.673333333333334,10.526792272841503
1433,55.16,,1.0,,28.08,27.08
1434,1.0,2.81,0.0,3.0,1.7025000000000001,1.2551966977330684
1435,25.77,18.34,0.0,2.0,11.5275,10.873309926144845
1436,0.0,21.06,1.0,3.0,6.265,8.609917246989077
1438,0.0,16.38,1.0,5.02,5.6,6.5012460344152485
1439,2.0,0.0,0.0,4.1,1.525,1.6961353129983465
1440,1.0,39.59999999999999,1.0,4.55,11.537499999999996,16.26658288485937
1442,22.96,2.47,0.0,,8.476666666666667,10.290786602047916
1443,41.47,25.26,1.0,4.77,18.125,16.33645386857258
1444,3.0,16.0,0.0,,6.333333333333333,6.944222218666553
1445,51.52,38.28,,2.0,30.600000000000005,20.933138003334967
1446,0.0,,0.0,0.0,0.0,0.0
1447,1.0,,1.0,1.0,1.0,0.0
1449,1.0,22.41,0.0,0.0,5.8525,9.568190463718832
1450,1.0,42.2,0.0,,14.4,19.661807309265004
1451,2.0,,0.0,,1.0,1.0
1452,23.5,11.0,0.0,,11.5,9.600347215943113
1454,1.0,,0.0,0.0,0.3333333333333333,0.4714045207910317
