,all_100,all_101,all_102,all_103
450,4.0,5.0,3.0,4.0
451,4.0,9.0,4.0,6.0
452,5.0,10.0,8.0,7.0
453,5.0,10.0,12.0,9.0
454,6.0,11.0,13.0,11.0
455,6.0,11.0,13.0,14.0
456,6.0,12.0,16.0,14.0
457,6.0,12.0,18.0,15.0
458,6.0,15.0,18.0,15.0
459,10.0,15.0,20.0,15.0
460,10.0,16.0,23.0,19.0
461,12.0,16.0,23.0,19.0
462,13.0,17.0,25.0,19.0
463,8.0,11.0,21.0,15.0
464,9.0,8.0,20.0,13.0
465,10.0,7.0,19.0,10.0
466,11.0,5.0,17.0,10.0
467,10.0,5.0,15.0,8.0
468,9.0,6.0,14.0,7.0
469,10.0,3.0,15.0,7.0
470,10.0,3.0,14.0,8.0
471,8.0,3.0,12.0,6.0
472,4.0,4.0,11.0,5.0
473,3.0,5.0,8.0,6.0
474,2.0,5.0,6.0,6.0
475,3.0,6.0,6.0,6.0
476,3.0,6.0,7.0,6.0
477,3.0,11.0,8.0,6.0
478,4.0,13.0,9.0,7.0
479,5.0,13.0,12.0,8.0
480,6.0,12.0,13.0,10.0
481,6.0,13.0,17.0,10.0
482,8.0,13.0,20.0,12.0
483,9.0,15.0,20.0,12.0
484,10.0,15.0,22.0,12.0
485,11.0,16.0,23.0,12.0
486,12.0,16.0,23.0,14.0
487,7.0,11.0,19.0,11.0
488,5.0,12.0,17.0,10.0
489,6.0,10.0,19.0,8.0
490,3.0,11.0,19.0,6.0
491,1.0,8.0,16.0,6.0
492,2.0,8.0,13.0,8.0
493,5.0,7.0,13.0,10.0
494,5.0,5.0,11.0,9.0
495,7.0,4.0,9.0,8.0
496,8.0,2.0,8.0,7.0
497,8.0,1.0,7.0,4.0
498,6.0,0.0,12.0,2.0
499,6.0,3.0,13.0,3.0
500,7.0,3.0,13.0,4.0
501,8.0,3.0,13.0,4.0
502,9.0,3.0,14.0,9.0
503,10.0,4.0,15.0,11.0
504,12.0,4.0,15.0,12.0
505,12.0,6.0,15.0,16.0
506,17.0,7.0,17.0,17.0
507,18.0,7.0,17.0,17.0
508,17.0,9.0,19.0,19.0
509,18.0,10.0,20.0,23.0
510,20.0,12.0,22.0,23.0
511,15.0,10.0,15.0,20.0
512,12.0,10.0,13.0,19.0
513,12.0,11.0,15.0,19.0
514,11.0,9.0,14.0,17.0
515,10.0,8.0,12.0,15.0
516,9.0,8.0,8.0,15.0
517,10.0,8.0,7.0,14.0
518,6.0,4.0,5.0,11.0
519,4.0,2.0,5.0,9.0
520,2.0,5.0,5.0,7.0
521,4.0,5.0,5.0,5.0
522,5.0,3.0,6.0,5.0
523,7.0,3.0,7.0,5.0
524,8.0,4.0,10.0,8.0
525,9.0,4.0,11.0,8.0
526,10.0,5.0,12.0,8.0
527,11.0,5.0,16.0,9.0
528,12.0,6.0,17.0,9.0
529,14.0,6.0,16.0,9.0
530,16.0,7.0,17.0,10.0
531,18.0,8.0,17.0,10.0
532,22.0,12.0,18.0,10.0
533,22.0,13.0,18.0,11.0
534,22.0,13.0,18.0,12.0
535,17.0,7.0,13.0,12.0
536,13.0,5.0,10.0,9.0
537,14.0,3.0,8.0,6.0
538,12.0,2.0,7.0,8.0
539,12.0,1.0,8.0,7.0
540,9.0,3.0,7.0,4.0
541,10.0,4.0,7.0,3.0
542,9.0,4.0,5.0,4.0
543,6.0,3.0,5.0,5.0
544,4.0,2.0,5.0,5.0
545,4.0,3.0,3.0,5.0
546,5.0,4.0,3.0,5.0
547,5.0,5.0,5.0,5.0
548,6.0,6.0,5.0,8.0
549,7.0,6.0,6.0,9.0
550,8.0,6.0,8.0,7.0
551,11.0,8.0,8.0,7.0
552,11.0,11.0,8.0,7.0
553,15.0,13.0,10.0,9.0
554,14.0,15.0,10.0,10.0
555,15.0,20.0,10.0,11.0
556,16.0,22.0,10.0,11.0
557,20.0,23.0,12.0,13.0
558,22.0,24.0,12.0,15.0
559,17.0,18.0,11.0,9.0
560,13.0,14.0,8.0,7.0
561,17.0,13.0,7.0,7.0
562,17.0,12.0,8.0,7.0
563,15.0,14.0,9.0,5.0
564,13.0,14.0,7.0,5.0
565,12.0,10.0,4.0,6.0
566,8.0,6.0,2.0,4.0
